Unnamed: 0,pl_name,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
56,BD+20 594 b,1,1,1,4,2,179.461,1.257,-1.24,179.461,1.257,-1.24,1.0
57,BD+45 564 b,1,1,1,1,1,53.622,0.1919,-0.1905,53.622,0.1919,-0.1905,0.0
58,BD+48 738 b,1,1,1,1,1,871.493,43.849,-43.849,871.493,43.849,-43.849,0.0
59,BD+48 740 b,1,1,1,1,1,666.589,21.5335,-21.5335,666.589,21.5335,-21.5335,0.0
60,BD+49 828 b,1,1,1,1,1,442.042,7.654,-7.654,442.042,7.654,-7.654,1.0
61,BD+55 362 b,1,1,1,1,1,52.5697,0.0974,-0.0971,52.5697,0.0974,-0.0971,0.0
62,BD+60 1417 b,1,1,1,2,2,44.9543,0.0593,-0.0592,44.9543,0.0593,-0.0592,2.0
63,BD+63 1405 b,1,1,1,1,1,38.0473,0.0329,-0.0329,38.0473,0.0329,-0.0329,0.0
64,BD-00 4475 b,1,1,1,1,1,42.6402,0.1816,-0.1801,42.6402,0.1816,-0.1801,0.0
65,BD-06 1339 b,1,1,2,1,1,20.2695,0.022,-0.0218,20.2695,0.022,-0.0218,1.0
66,BD-06 1339 c,2,1,2,1,1,20.2695,0.022,-0.0218,20.2695,0.022,-0.0218,0.0
67,BD-08 2823 b,1,1,2,1,1,41.3342,0.0685,-0.0682,41.3342,0.0685,-0.0682,0.0
68,BD-08 2823 c,2,1,2,1,1,41.3342,0.0685,-0.0682,41.3342,0.0685,-0.0682,0.0
69,BD-10 3166 b,1,1,1,1,1,84.4069,0.3537,-0.3508,84.4069,0.3537,-0.3508,1.0
70,BD-11 4672 b,1,1,2,1,1,27.1665,0.0346,-0.0346,27.1665,0.0346,-0.0346,0.0
71,BD-11 4672 c,2,1,2,1,1,27.1665,0.0346,-0.0346,27.1665,0.0346,-0.0346,0.0
72,BD-13 2130 b,1,1,1,1,1,925.214,41.211,-41.211,925.214,41.211,-41.211,0.0
73,BD-17 63 b,1,1,1,1,1,34.4603,0.0929,-0.0924,34.4603,0.0929,-0.0924,0.0
74,BD-210397 b,1,1,2,1,1,23.7324,0.0228,-0.0227,23.7324,0.0228,-0.0227,0.0
