Unnamed: 0,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_locale,sy_dist,sy_disterr1,sy_disterr2,sy_dist.1,sy_disterr1.1,sy_disterr2.1,pl_nnotes
3759,2,1,2,4,2,527.956,6.105,-5.969,527.956,6.105,-5.969,1.0
745,1,1,1,1,1,40.3303,0.0616,-0.0613,40.3303,0.0616,-0.0613,0.0
3869,2,1,2,4,2,812.524,14.656,-14.155,812.524,14.656,-14.155,0.0
4379,1,1,1,4,2,1076.28,18.01,-17.44,1076.28,18.01,-17.44,1.0
2594,1,1,1,4,2,1845.58,95.95,-87.07,1845.58,95.95,-87.07,1.0
195,1,1,1,1,1,25.8557,0.0393,-0.0391,25.8557,0.0393,-0.0391,0.0
1200,1,1,1,1,1,87.8049,0.2031,-0.2022,87.8049,0.2031,-0.2022,0.0
2586,1,1,2,4,2,978.678,26.517,-26.517,978.678,26.517,-26.517,1.0
4689,1,1,1,4,2,545.063,8.197,-7.962,545.063,8.197,-7.962,1.0
802,2,1,2,1,1,8.79687,0.00925,-0.00924,8.79687,0.00925,-0.00924,1.0
3649,1,1,2,4,2,826.613,10.595,-10.595,826.613,10.595,-10.595,1.0
4051,1,1,2,4,2,1058.24,14.93,-14.93,1058.24,14.93,-14.93,1.0
4362,2,2,2,4,2,399.034,2.6725,-2.6725,399.034,2.6725,-2.6725,2.0
4510,1,1,1,4,2,983.502,23.988,-22.889,983.502,23.988,-22.889,1.0
3103,3,1,5,4,2,177.594,0.774,-0.774,177.594,0.774,-0.774,1.0
5071,2,1,2,10,1,235.933,1.051,-1.041,235.933,1.051,-1.041,0.0
1272,2,1,2,1,1,64.1181,0.1748,-0.1748,64.1181,0.1748,-0.1748,0.0
4906,1,3,1,1,1,1.30119,0.00034,-0.00035,1.30119,0.00034,-0.00035,1.0
644,1,2,2,1,1,109.055,1.021,-1.002,109.055,1.021,-1.002,1.0
1437,1,1,1,4,2,287.188,2.387,-2.348,287.188,2.387,-2.348,0.0
5139,1,1,3,4,2,62.7792,0.1161,-0.1156,62.7792,0.1161,-0.1156,2.0
1536,2,2,4,4,2,77.5586,0.3581,-0.3549,77.5586,0.3581,-0.3549,1.0
120,1,2,1,3,1,30.5225,0.0284,-0.0285,30.5225,0.0284,-0.0285,1.0
2488,1,1,1,4,2,492.894,7.089,-6.894,492.894,7.089,-6.894,1.0
2099,1,1,1,4,2,1090.7,23.91,-22.92,1090.7,23.91,-22.92,1.0
2550,1,1,1,4,2,319.675,2.136,-2.108,319.675,2.136,-2.108,1.0
4442,1,1,1,4,2,321.0,11.185,-16.849,321.0,11.185,-16.849,1.0
2615,1,1,2,4,2,2065.59,118.58,-118.58,2065.59,118.58,-118.58,1.0
5133,1,2,1,4,2,108.883,0.433,-0.428,108.883,0.433,-0.428,1.0
2968,1,1,1,4,2,1588.41,75.49,-69.04,1588.41,75.49,-69.04,0.0
3966,2,1,2,4,2,596.625,10.858,-10.484,596.625,10.858,-10.484,0.0
2763,3,1,3,10,2,937.013,16.452,-15.904,937.013,16.452,-15.904,1.0
134,1,1,1,4,2,706.391,16.79,-16.79,706.391,16.79,-16.79,1.0
4288,1,1,1,4,2,1665.31,116.04,-102.07,1665.31,116.04,-102.07,1.0
3470,1,1,4,4,2,335.307,3.0565,-3.0565,335.307,3.0565,-3.0565,2.0
